scenario,week,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Cobb,Lake_Coleridge,Lake_Dunstan,Lake_Hawea,Lake_Karapiro,Lake_Maraetai,Lake_Matahina,Lake_Moawhango,Lake_Ohakuri,Lake_Ohau,Lake_Pukaki,Lake_Rotoaira,Lake_Roxburgh,Lake_Taupo,Lake_Tekapo,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru,Lakes_Manapouri_Te_Anau,Mangahao_head
1933,25,9.6985,3.7618,1.058,7.2053,18.0131,149.6047,4.113,7.6871,27.206,10.4626,110.535,4.5231,18.868,55.707,39.2971,35.8213,9.5222,33.8597,23.7204,5.1054,92.6591,31.366,12.4624,1.9985,3.9089,145.935,13.8718
1933,26,9.2825,3.6005,1.0126,6.9044,17.261,91.1489,4.8837,11.128,32.6543,10.0138,215.034,20.2191,18.0587,56.624,38.2259,30.0266,9.1137,32.446,30.8386,3.1106,126.5326,43.2927,12.8929,1.9128,3.7456,119.6961,13.2768
1933,27,9.2693,3.5954,1.0112,6.9044,17.261,140.5505,4.2101,8.1217,29.5817,9.9996,142.7614,3.3741,18.033,57.0636,38.1373,27.2183,9.1007,32.446,21.8117,4.7965,82.0691,27.8353,30.6627,1.91,3.7456,89.3427,13.2579
1933,28,9.06,3.5142,0.9884,23.1329,57.8321,183.077,7.1866,21.4099,118.4124,9.7738,370.044,11.5504,17.6258,63.133,133.1141,130.9586,8.8953,108.7074,33.7817,6.2477,143.1227,48.8719,17.9129,1.8669,12.5496,103.3177,12.9585
1933,29,13.1378,5.0959,1.4332,26.947,67.3674,306.4688,9.3939,31.263,37.5079,14.1729,170.5086,7.1206,25.559,91.7301,115.1993,74.2904,12.8989,126.6304,40.2696,10.4586,306.7516,102.3941,39.6107,2.7072,14.6187,145.3484,18.791
1933,30,11.6253,4.5092,1.2682,11.1988,27.997,215.0189,5.5749,14.2137,102.6379,12.5412,103.566,2.696,22.6164,60.8797,56.5443,57.906,11.4139,52.626,40.2401,7.3378,130.3399,51.688,28.5591,2.3955,6.0753,123.8269,16.6276
1933,31,11.3634,4.4076,1.2396,22.6077,56.5193,256.8786,10.6919,37.0576,75.1086,12.2587,729.9307,12.1773,22.107,62.6547,108.9751,87.3839,11.1568,106.239,33.8973,8.7663,143.2441,48.9036,44.1803,2.3416,12.2647,158.1296,16.2531
1933,32,10.2709,3.9839,1.1205,21.021,52.5524,327.1596,8.355,26.6261,39.8694,11.0802,603.831,7.1143,19.9817,71.2617,99.9143,62.015,10.0842,98.7827,37.5001,11.1647,160.1303,54.875,22.3491,2.1164,11.4039,173.5224,14.6906
1933,33,10.7434,4.1671,1.172,14.1449,35.3621,312.4395,6.623,18.8931,35.4694,11.5898,205.4976,2.2567,20.9008,66.271,63.1863,51.2111,10.5481,66.4703,38.6296,10.6624,164.9599,56.7033,18.8066,2.2138,7.6736,156.8423,15.3663
1933,34,12.8157,4.9709,1.3981,10.005,25.0126,269.9321,5.3929,13.4011,31.2679,13.8254,266.5161,6.6186,24.9323,86.2021,49.0697,67.4473,12.5827,47.0159,57.7334,9.2117,288.7733,98.4284,16.7064,2.6408,5.4277,137.211,18.3303
